date,window,is_anomaly,faulty_service,fault_type
2022-08-22,03_53,1,frontend,cpu_contention
2022-08-22,03_54,1,frontend,cpu_contention
2022-08-22,03_55,1,frontend,cpu_contention
2022-08-22,04_02,1,frontend,return
2022-08-22,04_03,1,frontend,return
2022-08-22,04_04,1,frontend,return
2022-08-22,04_10,1,frontend,cpu_consumed
2022-08-22,04_11,1,frontend,cpu_consumed
2022-08-22,04_12,1,frontend,cpu_consumed
2022-08-22,04_18,1,frontend,exception
2022-08-22,04_19,1,frontend,exception
2022-08-22,04_20,1,frontend,exception
2022-08-22,04_27,1,cartservice,network_delay
2022-08-22,04_28,1,cartservice,network_delay
2022-08-22,04_29,1,cartservice,network_delay
2022-08-22,04_36,1,cartservice,cpu_contention
2022-08-22,04_37,1,cartservice,cpu_contention
2022-08-22,04_38,1,cartservice,cpu_contention
2022-08-22,04_44,1,checkoutservice,cpu_contention
2022-08-22,04_45,1,checkoutservice,cpu_contention
2022-08-22,04_46,1,checkoutservice,cpu_contention
2022-08-22,04_52,1,checkoutservice,network_delay
2022-08-22,04_53,1,checkoutservice,network_delay
2022-08-22,04_54,1,checkoutservice,network_delay
2022-08-22,05_01,1,checkoutservice,exception
2022-08-22,05_02,1,checkoutservice,exception
2022-08-22,05_03,1,checkoutservice,exception
2022-08-22,05_09,1,checkoutservice,return
2022-08-22,05_10,1,checkoutservice,return
2022-08-22,05_11,1,checkoutservice,return
2022-08-22,05_18,1,currencyservice,cpu_contention
2022-08-22,05_19,1,currencyservice,cpu_contention
2022-08-22,05_20,1,currencyservice,cpu_contention
2022-08-22,05_27,1,currencyservice,network_delay
2022-08-22,05_28,1,currencyservice,network_delay
2022-08-22,05_29,1,currencyservice,network_delay
2022-08-22,05_35,1,emailservice,cpu_contention
2022-08-22,05_36,1,emailservice,cpu_contention
2022-08-22,05_37,1,emailservice,cpu_contention
2022-08-22,05_43,1,emailservice,network_delay
2022-08-22,05_44,1,emailservice,network_delay
2022-08-22,05_45,1,emailservice,network_delay
2022-08-22,05_52,1,paymentservice,network_delay
2022-08-22,05_53,1,paymentservice,network_delay
2022-08-22,05_54,1,paymentservice,network_delay
2022-08-22,06_01,1,paymentservice,cpu_contention
2022-08-22,06_02,1,paymentservice,cpu_contention
2022-08-22,06_03,1,paymentservice,cpu_contention
2022-08-22,06_35,1,productcatalogservice,cpu_consumed
2022-08-22,06_36,1,productcatalogservice,cpu_consumed
2022-08-22,06_37,1,productcatalogservice,cpu_consumed
2022-08-22,06_52,1,recommendationservice,network_delay
2022-08-22,06_53,1,recommendationservice,network_delay
2022-08-22,06_54,1,recommendationservice,network_delay
2022-08-22,07_01,1,recommendationservice,cpu_contention
2022-08-22,07_02,1,recommendationservice,cpu_contention
2022-08-22,07_03,1,recommendationservice,cpu_contention
2022-08-22,07_10,1,recommendationservice,cpu_consumed
2022-08-22,07_11,1,recommendationservice,cpu_consumed
2022-08-22,07_12,1,recommendationservice,cpu_consumed
2022-08-22,07_17,1,shippingservice,network_delay
2022-08-22,07_18,1,shippingservice,network_delay
2022-08-22,07_19,1,shippingservice,network_delay
2022-08-22,07_26,1,shippingservice,cpu_contention
2022-08-22,07_27,1,shippingservice,cpu_contention
2022-08-22,07_28,1,shippingservice,cpu_contention
2022-08-22,07_44,1,adservice,return
2022-08-22,07_45,1,adservice,return
2022-08-22,07_46,1,adservice,return
2022-08-22,07_53,1,adservice,exception
2022-08-22,07_54,1,adservice,exception
2022-08-22,07_55,1,adservice,exception
2022-08-23,12_01,1,frontend,cpu_contention
2022-08-23,12_02,1,frontend,cpu_contention
2022-08-23,12_03,1,frontend,cpu_contention
2022-08-23,12_10,1,frontend,return
2022-08-23,12_11,1,frontend,return
2022-08-23,12_12,1,frontend,return
2022-08-23,12_18,1,frontend,cpu_consumed
2022-08-23,12_19,1,frontend,cpu_consumed
2022-08-23,12_20,1,frontend,cpu_consumed
2022-08-23,12_27,1,frontend,exception
2022-08-23,12_28,1,frontend,exception
2022-08-23,12_29,1,frontend,exception
2022-08-23,12_35,1,cartservice,network_delay
2022-08-23,12_36,1,cartservice,network_delay
2022-08-23,12_37,1,cartservice,network_delay
2022-08-23,12_45,1,cartservice,cpu_contention
2022-08-23,12_46,1,cartservice,cpu_contention
2022-08-23,12_47,1,cartservice,cpu_contention
2022-08-23,12_53,1,checkoutservice,network_delay
2022-08-23,12_54,1,checkoutservice,network_delay
2022-08-23,12_55,1,checkoutservice,network_delay
2022-08-23,13_02,1,checkoutservice,exception
2022-08-23,13_03,1,checkoutservice,exception
2022-08-23,13_04,1,checkoutservice,exception
2022-08-23,13_10,1,checkoutservice,return
2022-08-23,13_11,1,checkoutservice,return
2022-08-23,13_12,1,checkoutservice,return
2022-08-23,13_19,1,checkoutservice,cpu_consumed
2022-08-23,13_20,1,checkoutservice,cpu_consumed
2022-08-23,13_21,1,checkoutservice,cpu_consumed
2022-08-23,13_27,1,currencyservice,cpu_contention
2022-08-23,13_28,1,currencyservice,cpu_contention
